S. No,Section,Feature,Implementation,Phase,Ready to build,Notes,,
4.03,Communication Hub,SMS gateway integration as a third channel,"Deferred. Architecture supports future integration of a commercial SMS Gateway API, but the June launch will prioritize automated WhatsApp (Convonite) and Email (Resend) channels.",Future,Future,,, 
4.04,Communication Hub,"Unified inbox showing email, WhatsApp, SMS, and call logs against each contact","The CRM serves as a Communication Activity Log. WhatsApp history is accessed via direct deep-links to Convonite. Email history is tracked as 'Sent' events via Resend. For calls, the UI provides native tel: links; upon clicking, a modal allows for Manual Call Logging (outcome and notes). These manual logs are then standardized and displayed alongside automated message events to provide a complete communication history without the complexity of a VoIP integration. SMS is currently deferred to the Future phase.",Integrations,Yes,,, 
4.05,Communication Hub,Click-to-call from contact records with call logging,"The UI will provide native tel: links for immediate click-to-call functionality via the admin's device (phone/laptop). Manual Call Logging will be implemented: upon clicking the link, a brief pop-up will allow the team member to quickly log the call outcome (e.g., Interested, Busy, No Answer) and add notes. Automated Call Recording/VoIP integration (via Twilio) is deferred to the Future phase as it requires a separate telephony subscription and significant architectural overhead.",Core,Yes,,, 
4.06,Communication Hub,"Automated pre-program communication sequences (welcome, prep material, reminders)",These sequences will be managed by utilizing the features of the integrated communication tools (Resend for email and Convonite for WhatsApp). The sequences will be automatically triggered by lifecycle stage updates or batch assignment events managed by Supabase Edge Functions and Vercel Cron jobs.,Marketing,Yes,,, 
4.07,Communication Hub,In-app and push notifications (if a customer-facing app or portal is built),"Supabase Edge Functions will trigger Expo Push Notifications as the primary nudge, falling back to Convonite if push fails.",Marketing,Yes,,, 
4.08,Communication Hub,Multi-language template management- not critical at the current juncture,This feature will be deferred. It involves complex localization logic within the template management system and is not required for the initial launch.,Future,Future,,, 
4.09,Communication Hub,"Easy to create workflows with drag drop functionality, no coding requirement","Next.js Admin Portal provides a visual rule builder mapping to a 'Trigger → Condition → Action' flow. Workflows are stored flexibly as JSONB in Supabase. The Go backend acts as the execution engine, evaluating database events against these rules in real-time and leveraging Redis (Asynq) to accurately handle time-delayed or scheduled actions.",Marketing,Yes,,, 
5.01,Campaigns & Automation,Drip email and WhatsApp sequences with branching logic,Go backend manages sequencing state in Supabase. Triggers logic-based messages via Resend and Convonite based on real-time user actions.,Marketing,Yes,,, 
5.02,Campaigns & Automation,"A/B testing for email subject lines, body, and send time",A/B testing logic to be implemented via Go backend comparing Resend/Convonite webhooks for conversion rates once core systems are stable.,Marketing,Yes,,, 
5.03,Campaigns & Automation,"Trigger-based automations (for example: lead from Meta plus program X, send WhatsApp and assign to rep Y)","Go backend processes external triggers (e.g., Meta Leads) to automate internal rep assignments and multi-channel responses based on database rules.",Marketing,Pending,Need list of automations needed,, 
5.04,Campaigns & Automation,Personalised content blocks based on user behaviour,"Go backend fetches user data (name, batch, link) from Supabase and injects it directly into React Email or Convonite Template Variables.",Marketing,Yes,,, 
5.05,Campaigns & Automation,AI chatbot for first-level lead qualification on website and WhatsApp- can this be a functionality on the CRM,Strategic future expansion. Architecture is 'AI-Ready' to support a bespoke assistant for lead qualification and FAQs once core operational data is centralized.,Future,Future,,, 
5.06,Campaigns & Automation,Sentiment analysis on inbound WhatsApp and email messages,Deferred feature to analyze lead and student sentiment via LLMs. Planned for implementation once communication volumes reach a statistically significant level.,Future,Future,,, 
6.01,Program & Registration Management,Program and batch (cohort) calendar,We will build a dedicated calendar view within the Admin Portal UI that queries program and batch data from Supabase. This provides a centralized scheduling view for all cohorts.,Core,Pending,To be detailed after App flow is decided,, 
6.02,Program & Registration Management,Registration tracking linked to specific cohorts,"The custom registration logic, coded in Next.js, will ensure every successful registration is explicitly linked to a unique cohort ID and stored in Supabase.",Core,Pending,To be detailed after App flow is decided,, 
6.03,Program & Registration Management,Payment link generation and capture (Razorpay),The Go backend will integrate with Razorpay’s API to generate unique payment links for registrants. Razorpay's webhooks will handle real-time payment capture and update the contact status in Supabase.,Integrations,Yes,,, 
6.04,Program & Registration Management,Automated reminders before program start,We will utilize Vercel Cron jobs or similar scheduling mechanisms to periodically check the database for contacts enrolled in programs starting soon and trigger communication sequences via Resend or Convonite.,Marketing,Pending,To be detailed after App flow is decided,, 
6.05,Program & Registration Management,Attendance and completion tracking,"Automatically syncs student engagement data (check-ins, milestones) from the app to the CRM via the Go backend. Staff can manually update completion status for live sessions as needed.",Core,Pending,To be detailed after App flow is decided,, 
6.06,Program & Registration Management,Capacity management and waitlists per cohort,"The Go backend will contain the core business logic to manage cohort capacity counters, automatically routing registrations to a waitlist when capacity limits (defined in Supabase) are reached.",Core,Pending,To be detailed after App flow is decided,, 
6.07,Program & Registration Management,Rescheduling and transfer workflows between cohorts,"We will build dedicated workflows within the Admin Portal that allow sales/admin staff to move a contact between cohorts, with the Go backend managing the necessary data updates and status changes.",Core,Pending,To be detailed after App flow is decided,, 
6.08,Program & Registration Management,Post-program feedback automation,"Upon program completion, the Go backend will automatically initiate a predefined communication sequence (via email or WhatsApp) to solicit feedback.",Marketing,Pending,To be detailed after App flow is decided,, 
6.09,Program & Registration Management,Auto-generated completion certificates,Deferred. The shift to a continuous program structure requires business-level clarification on exact completion milestones before automating certificate generation in the Go backend.,Future,Future,To be detailed after App flow is decided,, 
7.01,"Renewals, Retention & Growth",Renewal calendar with automatic alerts before expiry,We will implement a dedicated Renewal Calendar view within the Admin Portal that queries customer records in Supabase. Alerts will be generated via a Vercel Cron job that scans the database daily for expiration dates and triggers alerts/notifications for sales staff before a defined renewal window.,Core,Yes,,, 
7.02,"Renewals, Retention & Growth",Renewal communication sequences (email plus WhatsApp),"A Vercel Cron job will trigger webhooks to the integrated communication tools (Resend for email and Convonite for WhatsApp) based on the contact's renewal date. These systems will then manage the personalized, multi-channel communication sequence leading up to and past expiry.",Marketing,Yes,,, 
7.03,"Renewals, Retention & Growth",Renewal status against each contact,"A specific, dedicated field (e.g., `renewal_status`) will be maintained on the contact record in Supabase. This field is updated based on successful payment events (Razorpay webhook) or manual overrides by sales staff.",Core,Yes,,, 
7.04,"Renewals, Retention & Growth",Customer lifetime value (CLV) tracking,We will implement a standard SQL function within Supabase to calculate the CLV for each contact based on their historical payment data. This calculated value will be exposed in the Customer 360 View and used for reporting.,Core,Yes,,, 
7.05,"Renewals, Retention & Growth",Churn risk scoring,Deferred. Advanced behavioral analysis and risk scoring logic will be developed in a future iteration to prioritize core operational analytics and actual churn tracking (11.12) for V1.,Future,Future,,, 
7.06,"Renewals, Retention & Growth",Upsell and cross-sell recommendations based on past programs,Deferred. Automated programmatic recommendation logic is designated as a future expansion.,Future,Future,,, 
7.07,"Renewals, Retention & Growth",Win-back campaigns for lapsed customers,The Go backend will automatically segment 'Lapsed' customers in Supabase and trigger a specialized Resend Broadcast or Convonite sequence.,Marketing,Yes,,, 
7.08,"Renewals, Retention & Growth",Loyalty and referral program management,"This is deferred for later consideration. It is a full-scale, dedicated program that involves specialized features like unique referral link generation, commission tracking, and payout logic, which is out of scope for the initial CRM Core Engine build.",Future,Future,,, 
8.01,Customer 360 View,"Unified contact timeline showing every email, message, call, registration, payment, and attendance event","A centralized React timeline aggregating Operational System Events (Payments, Cohort Assignments) and Communication Milestones. This includes automated email/WhatsApp timestamps and detailed Manual Call Logs.",Core,Yes,,, 
8.02,Customer 360 View,Program and payment history,"The Customer 360 View will directly query the Supabase contact, registration, and payment tables. This history is surfaced in a dedicated, easy-to-read section on the contact’s profile, providing an immediate and comprehensive overview of their transactional relationship.",Core,Yes,,, 
9.01,Meta & Ad Platform Integration,Meta Lead Ads instant sync into CRM,Go backend implements a webhook listener for Meta Lead Ads to automatically ingest leads into Supabase and trigger immediate notification and welcome workflows.,Marketing,Yes,,, 
9.02,Meta & Ad Platform Integration,Facebook Pixel installed across web properties for funnel tracking,"Next.js frontend integrates the standard Meta Pixel to track client-side user journeys, ensuring all web properties capture standard funnel events for ad attribution.",Marketing,Yes,,, 
9.03,Meta & Ad Platform Integration,"Basic conversion event mapping (lead, registration, payment)","Custom logic maps specific CRM milestones (Lead, Registration, Payment) to Meta's standard event schema, ensuring 1:1 data alignment across the Pixel and CAPI.",Marketing,Yes,,, 
9.04,Meta & Ad Platform Integration,Meta Conversions API setup to send funnel events back for ad optimisation,Go backend executes server-side event logging via Meta CAPI using unique identifiers (fbp/fbc/External ID) to bypass ad-blocker limitations and ensure high match quality.,Marketing,Yes,,, 
9.05,Meta & Ad Platform Integration,Custom audience sync (push CRM segments to Meta for retargeting),"Go backend utilizes the Meta Marketing API to automatically sync Supabase contact segments into Meta Custom Audiences for real-time, automated retargeting.",Marketing,Yes,,, 
9.06,Meta & Ad Platform Integration,Lookalike audience creation from converted customers,"Admin Portal provides a one-click CSV export formatted specifically for Meta’s Lookalike Audience uploader, focusing on high-value segments like 'Paid Students'.",Marketing,Yes,,, 
9.07,Meta & Ad Platform Integration,Google Ads conversion import and lead form integration,"Full backend integration utilizing the official Google Ads API. The Go service will manage OAuth flows, Developer Token authentication, and GCLID mapping to push high-fidelity offline conversions directly back to Google. This bypasses intermediary workarounds, establishing a robust, enterprise-grade attribution foundation (subject to Google's standard 4-8 week API approval timeline).",Marketing,Yes,,, 
9.08,Meta & Ad Platform Integration,LinkedIn Lead Gen Forms integration,Deferred. LinkedIn API integration is deferred; utilize standard manual CSV imports from LinkedIn Campaign Manager in the interim.,Future,Future,,, 
9.09,Meta & Ad Platform Integration,Offline conversion upload to optimise ad delivery,"Deferred. The automated Meta CAPI (9.04) serves as the primary real-time conversion engine. This manual upload feature remains as a future fallback only for sales occurring entirely outside the digital funnel (e.g., manual bank transfers) to ensure no attribution data is lost.",Future,Future,There might be some rare cases of payment outside Razorpay. We will deal with it later,, 
9.10,Meta & Ad Platform Integration,Ad spend ROI tracking by campaign and channel,Go backend integrates with the Meta Marketing API (Insights endpoint) to automatically fetch daily ad spend. This is aggregated with Razorpay revenue in Supabase to calculate real-time ROI and CAC.,Marketing,Yes,,, 
10.01,Other Integrations,"Google Workspace (Calendar, Gmail two-way sync)",Deferred. High-complexity integration requiring Restricted Scope security audits and complex backend state management for two-way synchronization.,Future,Future,,, 
10.02,Other Integrations,Zoom or video conferencing for online programs,"Go backend integrates with the Zoom APIs to automatically generate unique session links upon batch assignment, distributing them via automated communication sequences.",Integrations,Yes,,, 
10.03,Other Integrations,"Accounting software (Tally, Zoho Books, QuickBooks)","Utilizes Razorpay native webhook forwarding to sync successful payment events directly to the accounting software, bypassing the need for custom logic within the CRM.",Integrations,Pending,Which accounting software is used?,, 
10.04,Other Integrations,"Analytics tools (GA4, Mixpanel)","The frontends will implement standard tracking scripts, while the Go backend handles server-side event mirroring for high-accuracy conversion tracking (Lead, Registration, Payment).",Marketing,Yes,,, 
10.05,Other Integrations,Support and ticketing tool- if we are building one on the app then this can be database of all the issues,"Deferred. Future expansion will provide contextual deep-links to customer profiles in the existing support tool, tracking basic issue status in Supabase for a unified Customer 360 view.",Future,Future,,, 
11.01,Dashboards & Reporting,Lead source performance with volume and conversion rate,"Admin Portal uses Recharts to visualize SQL views from Supabase, tracking lead volume and conversion percentages segmented by UTM source and campaign.",Core,Yes,,, 
11.02,Dashboards & Reporting,Funnel conversion: Inquiry to Registered to Paid to Completed,Real-time funnel visualization querying contact lifecycle stages in Supabase to identify drop-off points between initial inquiry and program completion.,Core,Yes,,, 
11.03,Dashboards & Reporting,Program-wise enrollment and revenue,"Aggregates enrollment counts and Razorpay-verified revenue from Supabase, grouped by specific program type, cohort, and batch.",Core,Yes,,, 
11.04,Dashboards & Reporting,Invoice generation for all registered participants,Logic-driven deep-links within the Customer 360 view point to invoices automatically generated in the integrated accounting software via Razorpay webhooks.,Integrations,Yes,,, 
11.05,Dashboards & Reporting,"Email and WhatsApp delivery, open, and click rates","Go backend ingests real-time webhooks from Resend and Convonite, aggregating delivery and engagement metrics (opens/clicks) directly into the Admin Portal.",Marketing,Yes,,, 
11.06,Dashboards & Reporting,"Renewal due, achieved, and missed numbers","Dashboard tracks counts and percentages based on the renewal_status field in Supabase, providing a real-time view of the renewal pipeline performance.",Core,Yes,,, 
11.07,Dashboards & Reporting,Customer Acquisition Cost (CAC) by channel,Go backend calculates CAC by dividing total Meta Marketing API spend by the number of acquired customers mapped via UTM parameters. Google and LinkedIn is deferred.,Marketing,Yes,,, 
11.08,Dashboards & Reporting,Ad spend versus revenue dashboards,"Real-time comparison of Meta ad spend against Razorpay revenue in Supabase, providing automated ROI visualization by campaign.",Marketing,Yes,,, 
11.09,Dashboards & Reporting,Cohort retention curves,Deferred. Advanced behavioral analysis plotting long-term student engagement and retention trends. Deferred to prioritize high-level operational metrics.,Future,Future,,, 
11.10,Dashboards & Reporting,Geographic heat maps,Geographic distribution dashboard. Queries user location data (captured via forms or IP) in Supabase to visualize student distribution across cities/countries using standard bar and pie charts.,Core,Yes,,, 
11.11,Dashboards & Reporting,Forecasting dashboards (revenue and pipeline),Deferred. Probabilistic revenue forecasting based on historical funnel velocity. Focus for now is on real-time descriptive analytics.,Future,Future,,, 
11.12,Dashboards & Reporting,Churn and renewal rate trends over time,Dashboard tracks actual churn (expired subscriptions without renewal) by querying historical enrollment and payment status in Supabase. Predictive 'risk score' trends are deferred.,Future,Future,,, 
11.13,Dashboards & Reporting,Multi-touch attribution modelling,Deferred. Complex modeling of the full customer journey beyond last-touch UTM attribution. Designated as a future analytical upgrade.,Future,Future,,, 
11.14,Dashboards & Reporting,Predictive revenue forecasting,"Deferred. Relies on advanced ML-based data models (Section 2). While historical data exists, building predictive forecasting algorithms is deferred to prioritize the development of real-time, deterministic dashboards.",Future,Future,,, 
11.15,Dashboards & Reporting,Scenario planning dashboards (what-if analysis),Deferred. Advanced simulation tool for revenue modeling. Beyond the scope of the initial reporting suite and prioritized for future development.,Future,Future,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
